issuer_scope,event_class,relative_day,n_event_units,n_rows,mean_abs_peg_dev_bps,median_abs_peg_dev_bps,mean_peer_adjusted_abs_peg_dev_bps,mean_peg_dev_bps,tail50_rate,market_stress_share,manual_review_event_share,rule_version,rule_status
non_USDC,ad_hoc,-9,2,2,1.4701,1.4701,0.09912999999999994,1.4701,0.0,0.0,0.0,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_USDC,ad_hoc,-8,2,2,1.10815,1.10815,-1.5757900000000002,1.10815,0.0,0.0,0.0,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_USDC,ad_hoc,-7,2,2,1.87085,1.87085,0.54794,0.77935,0.0,0.0,0.0,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_USDC,ad_hoc,-6,2,2,2.53195,2.53195,0.59907,2.53195,0.0,0.0,0.0,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_USDC,ad_hoc,-5,2,2,2.62325,2.62325,-1.0345199999999997,2.43615,0.0,0.0,0.0,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_USDC,ad_hoc,-4,2,2,2.25595,2.25595,0.85418,1.71605,0.0,0.0,0.0,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_USDC,ad_hoc,-3,2,2,1.85025,1.85025,0.20303000000000004,1.10575,0.0,0.0,0.0,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_USDC,ad_hoc,-2,2,2,1.8623499999999997,1.8623499999999997,-2.005180000000001,1.8623499999999997,0.0,0.0,0.0,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_USDC,ad_hoc,-1,2,2,1.6973,1.6973,-0.4902099999999998,1.6973,0.0,0.0,0.0,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_USDC,ad_hoc,0,2,2,0.85575,0.85575,-1.5709999999999997,0.25095,0.0,0.5,0.0,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_USDC,ad_hoc,1,2,2,1.4922,1.4922,-2.614860000000001,-0.4929999999999999,0.0,0.5,0.0,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_USDC,ad_hoc,2,2,2,1.5058000000000002,1.5058000000000002,-2.28138,-0.8266000000000001,0.0,0.5,0.0,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_USDC,ad_hoc,3,2,2,1.7727,1.7727,-2.7057999999999995,-0.20709999999999995,0.0,0.5,0.0,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_USDC,ad_hoc,4,2,2,0.60845,0.60845,-3.273719999999999,-0.19365000000000002,0.0,0.5,0.0,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_USDC,ad_hoc,5,2,2,0.4627,0.4627,-0.8283600000000001,-0.3627,0.0,0.5,0.0,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_USDC,ad_hoc,6,2,2,0.38900000000000007,0.38900000000000007,-1.5943799999999997,-0.38900000000000007,0.0,0.5,0.0,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_USDC,ad_hoc,7,2,2,0.7420500000000001,0.7420500000000001,-0.7748499999999999,0.39205000000000007,0.0,0.5,0.0,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_USDC,ad_hoc,8,2,2,0.0,0.0,-1.24126,0.0,0.0,0.5,0.0,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_USDC,ad_hoc,9,2,2,0.4369,0.4369,-1.95461,0.4369,0.0,0.5,0.0,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_USDC,ad_hoc,10,2,2,1.2838500000000002,1.2838500000000002,-2.95051,0.28385000000000005,0.0,0.5,0.0,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_USDC,ad_hoc,11,2,2,0.3608,0.3608,-2.7215700000000003,0.3608,0.0,0.5,0.0,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_USDC,ad_hoc,12,2,2,0.3967,0.3967,-1.2585400000000002,-0.3967,0.0,0.5,0.0,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_USDC,ad_hoc,13,2,2,0.3142,0.3142,-3.2486400000000004,0.2634,0.0,0.5,0.0,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_USDC,ad_hoc,14,2,2,0.47074999999999995,0.47074999999999995,-1.16621,-0.17004999999999998,0.0,0.5,0.0,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_USDC,scheduled,-14,2,2,6.0600000000000005,6.0600000000000005,-13.341999999999999,3.94,0.0,0.0,0.5,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_USDC,scheduled,-13,2,2,7.545,7.545,-8.943999999999999,2.455,0.0,0.0,0.5,RQI_DII_v1.0,frozen_confirmed_by_researcher
