comparison_id,window_days,treated_group,reference_group,treated_event_units,reference_event_units,treated_mean_delta_abs_bps,reference_mean_delta_abs_bps,difference_in_mean_delta_abs_bps,treated_mean_delta_peer_adjusted_abs_bps,reference_mean_delta_peer_adjusted_abs_bps,difference_in_mean_delta_peer_adjusted_abs_bps,interpretation_status,rule_version,rule_status
non_usdc_vs_usdc,3,non_usdc_units,usdc_units,4,24,4.220822916666666,2.5331922152777775,1.6876307013888887,0.6362633333333338,6.647702108333333,-6.011438774999999,descriptive_only_small_sample_no_causal_claim,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_usdc_vs_usdc,7,non_usdc_units,usdc_units,4,24,2.2691549107142857,0.4721048020833332,1.7970501086309525,-1.0248922321428573,3.975765311309523,-5.00065754345238,descriptive_only_small_sample_no_causal_claim,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_usdc_vs_usdc,14,non_usdc_units,usdc_units,4,24,1.6988949999999998,1.399055916269841,0.2998390837301588,7.532662238095237,5.446664091884922,2.085998146210315,descriptive_only_small_sample_no_causal_claim,RQI_DII_v1.0,frozen_confirmed_by_researcher
ad_hoc_vs_scheduled,3,ad_hoc_units,scheduled_units,2,26,-0.3966875000000001,3.01820307051282,-3.4148905705128203,-1.52914,6.351853228205129,-7.880993228205129,descriptive_only_small_sample_no_causal_claim,RQI_DII_v1.0,frozen_confirmed_by_researcher
ad_hoc_vs_scheduled,7,ad_hoc_units,scheduled_units,2,26,-1.120261607142857,0.8710637733516483,-1.9913253804945055,-1.7661594642857141,3.648119902747252,-5.414279367032966,descriptive_only_small_sample_no_causal_claim,RQI_DII_v1.0,frozen_confirmed_by_researcher
ad_hoc_vs_scheduled,14,ad_hoc_units,scheduled_units,2,26,-1.0871861904761904,1.6364343989010985,-2.7236205893772887,-1.4121850476190474,6.2951906635714305,-7.707375711190478,descriptive_only_small_sample_no_causal_claim,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_usdc_ad_hoc_vs_non_usdc_scheduled,3,non_usdc_ad_hoc_units,non_usdc_scheduled_units,2,2,-0.3966875000000001,8.838333333333335,-9.235020833333335,-1.52914,2.8016666666666676,-4.330806666666668,descriptive_only_small_sample_no_causal_claim,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_usdc_ad_hoc_vs_non_usdc_scheduled,7,non_usdc_ad_hoc_units,non_usdc_scheduled_units,2,2,-1.120261607142857,5.658571428571428,-6.778833035714285,-1.7661594642857141,-0.2836250000000007,-1.4825344642857134,descriptive_only_small_sample_no_causal_claim,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_usdc_ad_hoc_vs_non_usdc_scheduled,14,non_usdc_ad_hoc_units,non_usdc_scheduled_units,2,2,-1.0871861904761904,4.48497619047619,-5.57216238095238,-1.4121850476190474,16.477509523809523,-17.88969457142857,descriptive_only_small_sample_no_causal_claim,RQI_DII_v1.0,frozen_confirmed_by_researcher
