event_unit_id,stablecoin,issuer,event_date,record_count,event_ids,event_families,document_families,event_types,source_statuses,source_urls,scheduled_flag,ad_hoc_flag,event_class,issuer_scope,stress_regime,manual_review_required,min_priority,source_record_count,has_rqi,has_dii,event_day_price_usd,event_day_abs_peg_dev_bps,event_day_peer_adjusted_abs_peg_dev_bps,market_stress_on_event_date,market_stress_types_on_event_date,episode_override_applied,canonical_event_date_basis,episode_merge_rules,episode_body_inclusion_status,episode_override_rationale,rule_version,rule_status,provisional_flag,provisional_reason,previous_event_gap_days,next_event_gap_days,overlap_risk_7d_window,overlap_risk_14d_window
USDC_ASSURANCE_2022_11,USDC,Circle,2022-12-22,1,USDC_ASSURANCE_2022_11,scheduled_monthly_assurance,monthly_assurance,scheduled_assurance_publication,downloaded_extracted,see_historical_report_register_v1,1,0,scheduled,USDC,normal,0,P0,1,1,1,1.00000479,0.0479,-0.4711,0,normal,0,publication_date,,,,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending,30,34,0,0
USDC_ASSURANCE_2022_12,USDC,Circle,2023-01-25,1,USDC_ASSURANCE_2022_12,scheduled_monthly_assurance,monthly_assurance,scheduled_assurance_publication,downloaded_extracted,see_historical_report_register_v1,1,0,scheduled,USDC,normal,0,P0,1,1,1,1.00038,3.8000000000000003,-9.9008,0,normal,0,publication_date,,,,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending,34,36,0,0
USDC_ASSURANCE_2023_01,USDC,Circle,2023-03-02,1,USDC_ASSURANCE_2023_01,scheduled_monthly_assurance,monthly_assurance,scheduled_assurance_publication,downloaded_extracted,see_historical_report_register_v1,1,0,scheduled,USDC,normal,1,P0,1,1,1,0.9999,1.0,-2.917580000000001,0,normal,0,publication_date,,,,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending,36,28,0,1
USDC_ASSURANCE_2023_02,USDC,Circle,2023-03-30,1,USDC_ASSURANCE_2023_02,scheduled_monthly_assurance,monthly_assurance,scheduled_assurance_publication,downloaded_extracted,see_historical_report_register_v1,1,0,scheduled,USDC,normal,1,P0,1,1,1,0.99998,0.2,-3.014,0,normal,0,publication_date,,,,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending,28,29,0,1
USDC_ASSURANCE_2023_03,USDC,Circle,2023-04-28,1,USDC_ASSURANCE_2023_03,scheduled_monthly_assurance,monthly_assurance,scheduled_assurance_publication,downloaded_extracted,see_historical_report_register_v1,1,0,scheduled,USDC,banking_stress,1,P0,1,1,1,1.002,20.0,8.0,0,normal,0,publication_date,,,,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending,29,32,0,0
USDC_ASSURANCE_2023_04,USDC,Circle,2023-05-30,1,USDC_ASSURANCE_2023_04,scheduled_monthly_assurance,monthly_assurance,scheduled_assurance_publication,downloaded_extracted,see_historical_report_register_v1,1,0,scheduled,USDC,banking_stress,1,P0,1,0,1,0.999876,1.24,-1.9820000000000004,0,normal,0,publication_date,,,,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending,32,31,0,0
USDC_ASSURANCE_2023_05,USDC,Circle,2023-06-30,1,USDC_ASSURANCE_2023_05,scheduled_monthly_assurance,monthly_assurance,scheduled_assurance_publication,downloaded_extracted,see_historical_report_register_v1,1,0,scheduled,USDC,normal,1,P0,1,1,1,0.999549,4.51,1.1860000000000004,0,normal,0,publication_date,,,,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending,31,28,0,1
USDC_ASSURANCE_2023_06,USDC,Circle,2023-07-28,1,USDC_ASSURANCE_2023_06,scheduled_monthly_assurance,monthly_assurance,scheduled_assurance_publication,downloaded_extracted,see_historical_report_register_v1,1,0,scheduled,USDC,normal,1,P0,1,1,1,1.0,0.0,-1.122,0,normal,0,publication_date,,,,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending,28,33,0,1
USDC_ASSURANCE_2023_07,USDC,Circle,2023-08-30,1,USDC_ASSURANCE_2023_07,scheduled_monthly_assurance,monthly_assurance,scheduled_assurance_publication,downloaded_extracted,see_historical_report_register_v1,1,0,scheduled,USDC,normal,1,P0,1,1,1,0.998898,11.02,6.12,0,normal,0,publication_date,,,,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending,33,30,0,0
USDC_ASSURANCE_2023_08,USDC,Circle,2023-09-29,1,USDC_ASSURANCE_2023_08,scheduled_monthly_assurance,monthly_assurance,scheduled_assurance_publication,downloaded_extracted,see_historical_report_register_v1,1,0,scheduled,USDC,normal,1,P0,1,1,1,1.001,10.0,5.018000000000001,0,normal,0,publication_date,,,,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending,30,31,0,0
USDC_ASSURANCE_2023_09,USDC,Circle,2023-10-30,1,USDC_ASSURANCE_2023_09,scheduled_monthly_assurance,monthly_assurance,scheduled_assurance_publication,downloaded_extracted,see_historical_report_register_v1,1,0,scheduled,USDC,normal,1,P0,1,1,1,0.999903,0.97,-6.956,0,normal,0,publication_date,,,,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending,31,53,0,0
USDC_ASSURANCE_2023_11,USDC,Circle,2023-12-22,1,USDC_ASSURANCE_2023_11,scheduled_monthly_assurance,monthly_assurance,scheduled_assurance_publication,downloaded_extracted,see_historical_report_register_v1,1,0,scheduled,USDC,normal,1,P0,1,1,1,1.001,10.0,7.266,0,normal,0,publication_date,,,,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending,53,69,0,0
USDC_ASSURANCE_2024_01,USDC,Circle,2024-02-29,1,USDC_ASSURANCE_2024_01,scheduled_monthly_assurance,monthly_assurance,scheduled_assurance_publication,downloaded_extracted,see_historical_report_register_v1,1,0,scheduled,USDC,normal,1,P0,1,1,1,0.997833,21.67,-69.242,0,normal,0,publication_date,,,,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending,69,180,0,0
USDC_ASSURANCE_2024_07,USDC,Circle,2024-08-27,1,USDC_ASSURANCE_2024_07,scheduled_monthly_assurance,monthly_assurance,scheduled_assurance_publication,downloaded_extracted,see_historical_report_register_v1,1,0,scheduled,USDC,normal,1,P0,1,1,1,0.998951,10.49,-1.952,0,normal,0,publication_date,,,,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending,180,115,0,0
USDC_ASSURANCE_2024_11,USDC,Circle,2024-12-20,1,USDC_ASSURANCE_2024_11,scheduled_monthly_assurance,monthly_assurance,scheduled_assurance_publication,downloaded_extracted,see_historical_report_register_v1,1,0,scheduled,USDC,normal,1,P0,1,1,1,1.001,10.0,-19.5773,0,normal,0,publication_date,,,,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending,115,,0,0
USDP_MONTHLY_HOLDINGS_REPORT_JUNE_2024_2024_07_01,USDP,Paxos,2024-07-01,1,USDP_MONTHLY_HOLDINGS_REPORT_JUNE_2024_2024_07_01,scheduled_monthly_holdings,monthly_holdings_report,scheduled_monthly_holdings,registered_primary_source_archive_pending,https://paxos.com/wp-content/uploads/2024/07/USDP-Monthly-Stablecoin-Reporting-June-2024-USDP-Disclosure.pdf,1,0,scheduled,non_USDC,normal,1,P0,1,0,0,1.003,30.0,15.780000000000001,0,normal,0,publication_date,,,,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending,,,0,0
USDT_BDO_ALIGNMENT_2022_08_18,USDT,Tether,2022-08-18,1,USDT_ASSURANCE_PROVIDER_CHANGE_2022_08_18,ad_hoc_disclosure_process_change,issuer_news_release,assurance_provider_change,source_verified_for_descriptive_use,https://tether.io/news/tether-announces-alignment-with-top-five-accounting-firm-and-confirms-attestations-will-now-be-completed-by-bdo-italia/,0,1,ad_hoc,non_USDC,normal,0,P1,1,0,0,1.00011067,1.1067,-0.08626,0,normal,0,publication_date,,,,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending,,622,0,0
USDT_Q1_2024_ATTESTATION_EPISODE,USDT,Tether,2024-05-01,2,USDT_ASSURANCE_REPORT_Q1_2024_2024_04_30; USDT_NEWS_RELEASE_Q1_2024_2024_05_01,scheduled_assurance_or_reporting; scheduled_attestation_news_release,assurance_report; news_release,scheduled_assurance_or_reporting; scheduled_attestation_news_release,source_verified_for_descriptive_use,https://assets.ctfassets.net/vyse88cgwfbl/2JwUN6EeDvWi02CyuQd2nJ/d7b3b4c3800ec70abd7282cc79fa2973/ISAE_3000R_-_Opinion_on_Consolidated_Financials_Figures_and_Reserves_Report_31.03.2024_RC134792024BD0043.pdf; https://tether.io/news/tether-releases-q1-2024-attestation-reports-record-breaking-4-52-billion-profit-highest-treasury-bill-ownership-percentage-ever-total-group-equity-of-11-37-billion/,1,0,scheduled,non_USDC,normal,0,P0,2,0,0,0.999767,2.33,-4.362,0,normal,1,official_news_release_publication_date,merge_pdf_report_and_news_release,descriptive_after_archive,BDO PDF is signed 2024-04-30 and linked from Tether's 2024-05-01 official news release; use the public news release date for market-window analysis and avoid double-counting the same disclosure episode.; Official Tether news release dated 2024-05-01 announces the Q1 2024 attestation and links the BDO PDF; pair with the 2024-04-30 PDF as one analytic disclosure episode.,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending,622,,0,0
