event_unit_id,stablecoin,issuer_scope,event_class,event_date,date,relative_day,record_count,event_families,manual_review_required,market_stress_on_event_date,market_stress_flag,market_stress_types,overlap_risk_7d_window,overlap_risk_14d_window,episode_override_applied,canonical_event_date_basis,episode_merge_rules,price_usd,peg_dev_bps,abs_peg_dev_bps,peer_mean_abs_peg_dev_bps,peer_adjusted_abs_peg_dev_bps,peer_adjusted_peg_dev_bps,tail_depeg_50bp,tail_depeg_100bp,peer_tail50_rate,circulating_face_usd,rule_version,rule_status,provisional_flag,provisional_reason
BUSD_WINDDOWN_2023_02_13,BUSD,non_USDC,ad_hoc,2023-02-13,2023-01-30,-14,2,ad_hoc_issuer_event; ad_hoc_regulatory_event,0,1,0,normal,0,0,0,publication_date,,1.00015382,1.5381999999999998,1.5381999999999998,2.23796,-0.6997600000000004,-0.6997600000000004,0.0,0.0,0.0,15662961542.0,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
BUSD_WINDDOWN_2023_02_13,BUSD,non_USDC,ad_hoc,2023-02-13,2023-01-31,-13,2,ad_hoc_issuer_event; ad_hoc_regulatory_event,0,1,0,normal,0,0,0,publication_date,,0.99999957,-0.0043,0.0043,3.4492,-3.4448999999999996,-1.50074,0.0,0.0,0.0,15691010949.0,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
BUSD_WINDDOWN_2023_02_13,BUSD,non_USDC,ad_hoc,2023-02-13,2023-02-01,-12,2,ad_hoc_issuer_event; ad_hoc_regulatory_event,0,1,0,normal,0,0,0,publication_date,,1.00000597,0.059699999999999996,0.059699999999999996,3.9309399999999997,-3.87124,-3.87124,0.0,0.0,0.0,16052701966.0,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
BUSD_WINDDOWN_2023_02_13,BUSD,non_USDC,ad_hoc,2023-02-13,2023-02-02,-11,2,ad_hoc_issuer_event; ad_hoc_regulatory_event,0,1,0,normal,0,0,0,publication_date,,1.00016095,1.6095000000000002,1.6095000000000002,2.86198,-1.2524799999999998,-1.2524799999999998,0.0,0.0,0.0,16060447020.0,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
BUSD_WINDDOWN_2023_02_13,BUSD,non_USDC,ad_hoc,2023-02-13,2023-02-03,-10,2,ad_hoc_issuer_event; ad_hoc_regulatory_event,0,1,0,normal,0,0,0,publication_date,,0.99997947,-0.2053,0.2053,3.73574,-3.53044,-1.3495599999999999,0.0,0.0,0.0,16043616499.0,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
BUSD_WINDDOWN_2023_02_13,BUSD,non_USDC,ad_hoc,2023-02-13,2023-02-04,-9,2,ad_hoc_issuer_event; ad_hoc_regulatory_event,0,1,0,normal,0,0,0,publication_date,,1.00017661,1.7661,1.7661,0.57592,1.19018,1.94202,0.0,0.0,0.0,16231584424.0,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
BUSD_WINDDOWN_2023_02_13,BUSD,non_USDC,ad_hoc,2023-02-13,2023-02-05,-8,2,ad_hoc_issuer_event; ad_hoc_regulatory_event,0,1,0,normal,0,0,0,publication_date,,1.00003574,0.3574,0.3574,4.235480000000001,-3.8780800000000006,-2.19808,0.0,0.0,0.0,16231741171.0,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
BUSD_WINDDOWN_2023_02_13,BUSD,non_USDC,ad_hoc,2023-02-13,2023-02-06,-7,2,ad_hoc_issuer_event; ad_hoc_regulatory_event,0,1,0,normal,0,0,0,publication_date,,0.99989085,-1.0915,1.0915,1.88858,-0.79708,-0.25868,0.0,0.0,0.0,16217731330.0,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
BUSD_WINDDOWN_2023_02_13,BUSD,non_USDC,ad_hoc,2023-02-13,2023-02-07,-6,2,ad_hoc_issuer_event; ad_hoc_regulatory_event,0,1,0,normal,0,0,0,publication_date,,1.00011215,1.1215,1.1215,3.3939,-2.2724,4.1306,0.0,0.0,0.0,16145244705.0,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
BUSD_WINDDOWN_2023_02_13,BUSD,non_USDC,ad_hoc,2023-02-13,2023-02-08,-5,2,ad_hoc_issuer_event; ad_hoc_regulatory_event,0,1,0,normal,0,0,0,publication_date,,0.99998129,-0.1871,0.1871,3.1890600000000004,-3.0019600000000004,2.2451600000000003,0.0,0.0,0.0,16141340076.0,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
BUSD_WINDDOWN_2023_02_13,BUSD,non_USDC,ad_hoc,2023-02-13,2023-02-09,-4,2,ad_hoc_issuer_event; ad_hoc_regulatory_event,0,1,0,normal,0,0,0,publication_date,,0.99994601,-0.5399,0.5399,2.42382,-1.88392,0.95028,0.0,0.0,0.0,16136388253.0,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
BUSD_WINDDOWN_2023_02_13,BUSD,non_USDC,ad_hoc,2023-02-13,2023-02-10,-3,2,ad_hoc_issuer_event; ad_hoc_regulatory_event,0,1,0,normal,0,0,0,publication_date,,0.99992555,-0.7444999999999999,0.7444999999999999,1.8782199999999996,-1.1337199999999996,0.4470399999999999,0.0,0.0,0.0,16121797429.0,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
BUSD_WINDDOWN_2023_02_13,BUSD,non_USDC,ad_hoc,2023-02-13,2023-02-11,-2,2,ad_hoc_issuer_event; ad_hoc_regulatory_event,0,1,0,normal,0,0,0,publication_date,,1.00006159,0.6159,0.6159,3.1952400000000005,-2.5793400000000006,3.41114,0.0,0.0,0.0,16110670273.0,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
BUSD_WINDDOWN_2023_02_13,BUSD,non_USDC,ad_hoc,2023-02-13,2023-02-12,-1,2,ad_hoc_issuer_event; ad_hoc_regulatory_event,0,1,0,normal,0,0,0,publication_date,,1.00019692,1.9692,1.9692,3.1302399999999997,-1.1610399999999996,4.579,0.0,0.0,0.0,16110376062.0,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
BUSD_WINDDOWN_2023_02_13,BUSD,non_USDC,ad_hoc,2023-02-13,2023-02-13,0,2,ad_hoc_issuer_event; ad_hoc_regulatory_event,0,1,1,regulatory_issuer_stress,0,0,0,publication_date,,0.99993952,-0.6048,0.6048,3.6605399999999997,-3.0557399999999997,2.5757399999999997,0.0,0.0,0.0,16110305442.0,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
