event_id,stablecoin,issuer,document_family,rule_version,rule_status,rqi_weight_profile,report_year,report_month,report_dates,latest_report_date,publication_date,publication_lag_days,scheduled_flag,ad_hoc_flag,stress_regime_flag,attestor_or_provider,assurance_basis,total_reserve_assets_usd,treasury_securities_usd,treasury_repo_usd,reserve_fund_cash_usd,bank_cash_usd,cash_total_usd,treasury_share,repo_share,cash_total_share,bank_cash_share,pilot_rqi,disclosure_frequency_score,disclosure_granularity_score,disclosure_timeliness_score,assurance_score,pilot_dii,asset_extraction_confidence,date_extraction_status,manual_review_required,local_file_path,notes
USDC_ASSURANCE_2023_04,USDC,Circle,monthly_assurance,RQI_DII_v1.0,frozen_confirmed_by_researcher,primary_path_b,2023,April,2023-04-14;2023-04-28,2023-04-28,2023-05-30,32,1,0,banking_stress,Big Four accounting firm per Circle transparency page; manual PDF-name verification required,AICPA attestation standards,30546069033,30142388334,,2075760629,5178160327,7253920956,0.986785,0.000000,0.237475,0.169520,,0.60,1.00,0.40,1.00,0.7800,low,ok,1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2023_April.pdf,asset_extraction_low; auditor_name_not_text_visible; rqi_missing; components_exceed_total
USDC_ASSURANCE_2023_08,USDC,Circle,monthly_assurance,RQI_DII_v1.0,frozen_confirmed_by_researcher,primary_path_b,2023,August,2023-08-07;2023-08-31,2023-08-31,2023-09-29,29,1,0,normal,Big Four accounting firm per Circle transparency page; manual PDF-name verification required,AICPA attestation standards,26205114631,8857879752,14534000000,1003498285,1932308264,2935806549,0.338021,0.554625,0.112032,0.073738,0.9453,0.60,1.00,0.70,1.00,0.8400,medium,ok,1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2023_August.pdf,auditor_name_not_text_visible
USDC_ASSURANCE_2023_12,USDC,Circle,monthly_assurance,RQI_DII_v1.0,frozen_confirmed_by_researcher,primary_path_b,2023,December,2023-12-06;2023-12-29,2023-12-29,,,1,0,normal,Big Four accounting firm per Circle transparency page; manual PDF-name verification required,AICPA attestation standards,24693288222,6622021104,14707000000,1003858010,2499849775,3503707785,0.268171,0.595587,0.141889,0.101236,0.9422,0.60,1.00,,1.00,,medium,no_publication_date,1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2023_December.pdf,no_publication_date; auditor_name_not_text_visible
USDC_ASSURANCE_2023_02,USDC,Circle,monthly_assurance,RQI_DII_v1.0,frozen_confirmed_by_researcher,primary_path_b,2023,February,2023-02-09;2023-02-28,2023-02-28,2023-03-30,30,1,0,normal,Big Four accounting firm per Circle transparency page; manual PDF-name verification required,AICPA attestation standards,42456417425,31677326857,,,10928474182,10928474182,0.746114,0.000000,0.257405,0.257405,0.9147,0.60,1.00,0.70,1.00,0.8400,medium,ok,1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2023_February.pdf,auditor_name_not_text_visible
USDC_ASSURANCE_2023_01,USDC,Circle,monthly_assurance,RQI_DII_v1.0,frozen_confirmed_by_researcher,primary_path_b,2023,January,2023-01-17;2023-01-31,2023-01-31,2023-03-02,30,1,0,normal,Big Four accounting firm per Circle transparency page; manual PDF-name verification required,AICPA attestation standards,42335734074,33723644221,,,8755414970,8755414970,0.796576,0.000000,0.206809,0.206809,0.9222,0.60,1.00,0.70,1.00,0.8400,medium,ok,1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2023_January.pdf,auditor_name_not_text_visible
USDC_ASSURANCE_2023_07,USDC,Circle,monthly_assurance,RQI_DII_v1.0,frozen_confirmed_by_researcher,primary_path_b,2023,July,2023-07-24;2023-07-31,2023-07-31,2023-08-30,30,1,0,normal,Big Four accounting firm per Circle transparency page; manual PDF-name verification required,AICPA attestation standards,26462068123,5950941505,17436000000,1004112141,2196028208,3200140349,0.224886,0.658905,0.120933,0.082988,0.9439,0.60,1.00,0.70,1.00,0.8400,medium,ok,1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2023_July.pdf,auditor_name_not_text_visible
USDC_ASSURANCE_2023_06,USDC,Circle,monthly_assurance,RQI_DII_v1.0,frozen_confirmed_by_researcher,primary_path_b,2023,June,2023-06-02;2023-06-30,2023-06-30,2023-07-28,28,1,0,normal,Big Four accounting firm per Circle transparency page; manual PDF-name verification required,AICPA attestation standards,27439541303,5432701400,18456000000,1004283516,2673143113,3677426629,0.197988,0.672606,0.134019,0.097419,0.9416,0.60,1.00,0.70,1.00,0.8400,medium,ok,1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2023_June.pdf,auditor_name_not_text_visible
USDC_ASSURANCE_2023_03,USDC,Circle,monthly_assurance,RQI_DII_v1.0,frozen_confirmed_by_researcher,primary_path_b,2023,March,2023-03-06;2023-03-31,2023-03-31,2023-04-28,28,1,0,banking_stress,Big Four accounting firm per Circle transparency page; manual PDF-name verification required,AICPA attestation standards,32571701308,28510534939,,,4209385039,4209385039,0.875316,0.000000,0.129234,0.129234,0.9349,0.60,1.00,0.70,1.00,0.8400,medium,ok,1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2023_March.pdf,auditor_name_not_text_visible
USDC_ASSURANCE_2023_05,USDC,Circle,monthly_assurance,RQI_DII_v1.0,frozen_confirmed_by_researcher,primary_path_b,2023,May,2023-05-23;2023-05-31,2023-05-31,2023-06-30,30,1,0,normal,Big Four accounting firm per Circle transparency page; manual PDF-name verification required,AICPA attestation standards,28925130135,,22882000000,2006937041,4159033351,6165970392,0.000000,0.791077,0.213170,0.143786,0.9359,0.60,0.40,0.70,1.00,0.6900,low,ok,1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2023_May.pdf,asset_extraction_low; auditor_name_not_text_visible
USDC_ASSURANCE_2023_11,USDC,Circle,monthly_assurance,RQI_DII_v1.0,frozen_confirmed_by_researcher,primary_path_b,2023,November,2023-11-16;2023-11-30,2023-11-30,2023-12-22,22,1,0,normal,Big Four accounting firm per Circle transparency page; manual PDF-name verification required,AICPA attestation standards,24529287113,7167169630,14564000000,1003641646,1902038972,2905680618,0.292188,0.593739,0.118458,0.077542,0.9446,0.60,1.00,0.70,1.00,0.8400,medium,ok,1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2023_November.pdf,auditor_name_not_text_visible
