date,stablecoin,issuer,gecko_id,defillama_asset_id,price_usd,peg_dev,abs_peg_dev,tail_depeg_50bp,tail_depeg_100bp,downside_depeg_50bp,downside_depeg_100bp,premium_50bp,circulating_face_usd,market_cap_usd_est,active_chains_with_supply,market_stress_flag,market_stress_window_ids,market_stress_types,source_price,source_supply,access_date,rule_version,rule_status,provisional_flag,provisional_reason,latest_disclosure_event_id,latest_disclosure_report_date,latest_disclosure_publication_date,days_since_disclosure,stale_disclosure_45d,report_to_publication_lag_days,pilot_rqi_asof,pilot_dii_asof,disclosure_rule_version_asof,disclosure_rule_status_asof,disclosure_asset_confidence_asof,disclosure_manual_review_required_asof,stress_regime_asof,asof_merge_rule,coding_status
2022-01-15,USDC,Circle,usd-coin,2,1.0008576323,0.0008576323,0.0008576323,0,0,0,0,0,39540266490.00,39574177498.29,18,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-01-16,USDC,Circle,usd-coin,2,1.000121237,0.000121237,0.000121237,0,0,0,0,0,39546736355.00,39551530881.71,18,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-01-17,USDC,Circle,usd-coin,2,0.9997303949,-0.0002696051,0.0002696051,0,0,0,0,0,39618943928.00,39608262460.08,18,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-01-18,USDC,Circle,usd-coin,2,1.0024061834,0.0024061834,0.0024061834,0,0,0,0,0,39731580655.00,39827182124.32,18,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-01-19,USDC,Circle,usd-coin,2,0.9996010732,-0.0003989268,0.0003989268,0,0,0,0,0,39996179257.00,39980223709.43,18,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-01-20,USDC,Circle,usd-coin,2,0.9987928148,-0.0012071852,0.0012071852,0,0,0,0,0,40311298005.00,40262634804.32,18,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-01-21,USDC,Circle,usd-coin,2,1.0002063531,0.0002063531,0.0002063531,0,0,0,0,0,40562399718.00,40570769896.74,18,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-01-22,USDC,Circle,usd-coin,2,1.002901645,0.002901645,0.002901645,0,0,0,0,0,41360220459.00,41480233134.61,18,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-01-23,USDC,Circle,usd-coin,2,1.00407974,0.00407974,0.00407974,0,0,0,0,0,41738233083.00,41908514222.59,18,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-01-24,USDC,Circle,usd-coin,2,1.0050951569,0.0050951569,0.0050951569,1,0,0,0,1,42043082531.00,42257298633.85,18,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
