sample,rows,start_date,end_date,mean_abs_peg_dev_bps,max_abs_peg_dev_bps,tail_50bp_days,tail_100bp_days,mean_rqi,mean_dii,stale_45d_days,manual_review_days
all_usdc_market_days,1096,2022-01-01,2024-12-31,6.611495196886446,389.34999999999997,13,2,0.9345848192771085,0.7927089337175793,253,851
with_prior_disclosure,1041,2022-02-25,2024-12-31,6.212355244937319,389.34999999999997,11,1,0.9345848192771085,0.7927089337175792,253,851
with_rqi_asof,830,2022-08-24,2024-12-31,6.071721307506053,389.34999999999997,8,1,0.9345848192771083,0.8311084337349397,233,640
with_dii_asof,1041,2022-02-25,2024-12-31,6.212355244937319,389.34999999999997,11,1,0.9345848192771085,0.7927089337175792,253,851
manual_review_free,245,2022-01-01,2023-03-01,3.768817412244898,109.247319,2,1,0.9177684210526318,0.8400000000000001,0,0
market_stress_rows,40,2022-05-07,2023-03-20,21.034039424999996,389.34999999999997,2,1,0.9214500000000001,0.7656249999999999,0,25
