model_id,model_label,outcome,term,coef,hac_se_lag7,t_stat,p_value,n,r2,adj_r2,interpretation_unit,rule_version,rule_status,provisional_flag,provisional_reason
M3_tail50_rqi_dii_lpm,50bp tail depeg linear probability pilot,tail_depeg_50bp_pct,Intercept,326.00004331279945,202.32054200445697,1.6113047151960374,0.10749908150201692,826,0.025423021216999908,0.017083120420568476,,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,single_issuer_pilot_pending_multi_issuer_and_market_qc
M3_tail50_rqi_dii_lpm,50bp tail depeg linear probability pilot,tail_depeg_50bp_pct,rqi_10pp,-19.31819309605524,11.389755114287379,-1.6961025853683527,0.09024694507894315,826,0.025423021216999908,0.017083120420568476,coefficient per 10 percentage point increase in index,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,single_issuer_pilot_pending_multi_issuer_and_market_qc
M3_tail50_rqi_dii_lpm,50bp tail depeg linear probability pilot,tail_depeg_50bp_pct,dii_10pp,0.8486905714596704,0.5358352407048542,1.583864790869814,0.11361100349324715,826,0.025423021216999908,0.017083120420568476,coefficient per 10 percentage point increase in index,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,single_issuer_pilot_pending_multi_issuer_and_market_qc
M3_tail50_rqi_dii_lpm,50bp tail depeg linear probability pilot,tail_depeg_50bp_pct,days_since_disclosure_30d,-0.02273523219853313,0.27731971697507257,-0.08198202582392196,0.9346810619123491,826,0.025423021216999908,0.017083120420568476,coefficient per 30 days since latest disclosure,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,single_issuer_pilot_pending_multi_issuer_and_market_qc
M3_tail50_rqi_dii_lpm,50bp tail depeg linear probability pilot,tail_depeg_50bp_pct,stale_disclosure_45d,-0.08145484491023318,0.8209473295489778,-0.09922054920987909,0.9209874690824724,826,0.025423021216999908,0.017083120420568476,coefficient for indicator changing from 0 to 1,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,single_issuer_pilot_pending_multi_issuer_and_market_qc
M3_tail50_rqi_dii_lpm,50bp tail depeg linear probability pilot,tail_depeg_50bp_pct,market_stress_flag,6.9553941496614575,6.401782668607673,1.0864777062439999,0.2775877529701338,826,0.025423021216999908,0.017083120420568476,coefficient for indicator changing from 0 to 1,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,single_issuer_pilot_pending_multi_issuer_and_market_qc
M3_tail50_rqi_dii_lpm,50bp tail depeg linear probability pilot,tail_depeg_50bp_pct,log_supply,-6.380049957759031,4.1804352090441155,-1.526168840975261,0.1273543596984381,826,0.025423021216999908,0.017083120420568476,coefficient per one log point of circulating face supply,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,single_issuer_pilot_pending_multi_issuer_and_market_qc
M3_tail50_rqi_dii_lpm,50bp tail depeg linear probability pilot,tail_depeg_50bp_pct,trend_years,1.5430702382914578,0.7279759879032845,2.1196718901894096,0.034334321436122694,826,0.025423021216999908,0.017083120420568476,coefficient per calendar year,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,single_issuer_pilot_pending_multi_issuer_and_market_qc
M4_downside50_rqi_dii_lpm,50bp downside depeg linear probability pilot,downside_depeg_50bp_pct,Intercept,180.75172951591995,157.85509982293837,1.145048400201603,0.25252401579344497,826,0.05546257299525481,0.04737973437785481,,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,single_issuer_pilot_pending_multi_issuer_and_market_qc
M4_downside50_rqi_dii_lpm,50bp downside depeg linear probability pilot,downside_depeg_50bp_pct,rqi_10pp,-10.358372666635947,8.785422070479349,-1.1790409821563388,0.2387246813594921,826,0.05546257299525481,0.04737973437785481,coefficient per 10 percentage point increase in index,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,single_issuer_pilot_pending_multi_issuer_and_market_qc
M4_downside50_rqi_dii_lpm,50bp downside depeg linear probability pilot,downside_depeg_50bp_pct,dii_10pp,0.20656106934504556,0.23336200266370444,0.8851529682950081,0.3763342475417222,826,0.05546257299525481,0.04737973437785481,coefficient per 10 percentage point increase in index,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,single_issuer_pilot_pending_multi_issuer_and_market_qc
M4_downside50_rqi_dii_lpm,50bp downside depeg linear probability pilot,downside_depeg_50bp_pct,days_since_disclosure_30d,-0.008802683740139788,0.14068156231545376,-0.0625716945082065,0.9501228554303116,826,0.05546257299525481,0.04737973437785481,coefficient per 30 days since latest disclosure,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,single_issuer_pilot_pending_multi_issuer_and_market_qc
M4_downside50_rqi_dii_lpm,50bp downside depeg linear probability pilot,downside_depeg_50bp_pct,stale_disclosure_45d,0.019926959687556103,0.15970578375351996,0.12477293695455728,0.9007339686173903,826,0.05546257299525481,0.04737973437785481,coefficient for indicator changing from 0 to 1,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,single_issuer_pilot_pending_multi_issuer_and_market_qc
M4_downside50_rqi_dii_lpm,50bp downside depeg linear probability pilot,downside_depeg_50bp_pct,market_stress_flag,7.672130912015924,6.3607575250324135,1.2061662281296957,0.22810214125963757,826,0.05546257299525481,0.04737973437785481,coefficient for indicator changing from 0 to 1,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,single_issuer_pilot_pending_multi_issuer_and_market_qc
M4_downside50_rqi_dii_lpm,50bp downside depeg linear probability pilot,downside_depeg_50bp_pct,log_supply,-3.5952078008686916,3.24914866348601,-1.106507634221758,0.26883215813629047,826,0.05546257299525481,0.04737973437785481,coefficient per one log point of circulating face supply,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,single_issuer_pilot_pending_multi_issuer_and_market_qc
M4_downside50_rqi_dii_lpm,50bp downside depeg linear probability pilot,downside_depeg_50bp_pct,trend_years,0.8449967260397802,0.569467287398178,1.483837166311098,0.1382373229249232,826,0.05546257299525481,0.04737973437785481,coefficient per calendar year,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,single_issuer_pilot_pending_multi_issuer_and_market_qc
M5_absdev_stress_interaction,Abs peg deviation with stress interactions,abs_peg_dev_bps,Intercept,385.03425934262765,147.89532520811045,2.6034241366373676,0.009397434276591454,826,0.1940773365980445,0.18518848369287577,,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,single_issuer_pilot_pending_multi_issuer_and_market_qc
M5_absdev_stress_interaction,Abs peg deviation with stress interactions,abs_peg_dev_bps,rqi_10pp,-13.198689594822948,8.19648178647806,-1.6102871864605561,0.1077219150277704,826,0.1940773365980445,0.18518848369287577,coefficient per 10 percentage point increase in index,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,single_issuer_pilot_pending_multi_issuer_and_market_qc
M5_absdev_stress_interaction,Abs peg deviation with stress interactions,abs_peg_dev_bps,dii_10pp,2.3843107614076073,0.8792086466641843,2.7118827487126613,0.006830976426193125,826,0.1940773365980445,0.18518848369287577,coefficient per 10 percentage point increase in index,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,single_issuer_pilot_pending_multi_issuer_and_market_qc
