event_id,event_date,date,relative_day,in_window_3d,in_window_7d,pre_3d,post_3d,pre_7d,post_7d,event_day,price_usd,peg_dev_bps,abs_peg_dev_bps,tail_depeg_50bp,tail_depeg_100bp,market_stress_flag,market_stress_types,circulating_face_usd,event_pilot_rqi,event_pilot_dii,event_has_rqi,event_has_dii,event_manual_review_required,event_stress_regime_disclosure,overlap_risk_7d_window,overlap_risk_14d_window,classification_status,rule_version,rule_status,provisional_flag,provisional_reason
USDC_ASSURANCE_2022_01,2022-02-25,2022-02-11,-14,0,0,0,0,0,0,0,1.0019474373,19.474373,19.474373,0.0,0.0,0,normal,46075497320.0,,0.6275,0,1,1,normal,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2022_01,2022-02-25,2022-02-12,-13,0,0,0,0,0,0,0,1.0003195479,3.1954789999999997,3.1954789999999997,0.0,0.0,0,normal,46328988440.0,,0.6275,0,1,1,normal,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2022_01,2022-02-25,2022-02-13,-12,0,0,0,0,0,0,0,1.0008991098,8.991098,8.991098,0.0,0.0,0,normal,46329711058.0,,0.6275,0,1,1,normal,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2022_01,2022-02-25,2022-02-14,-11,0,0,0,0,0,0,0,1.0002074575,2.0745750000000003,2.0745750000000003,0.0,0.0,0,normal,46409299749.0,,0.6275,0,1,1,normal,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2022_01,2022-02-25,2022-02-15,-10,0,0,0,0,0,0,0,0.9999529954,-0.470046,0.470046,0.0,0.0,0,normal,46490992459.0,,0.6275,0,1,1,normal,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2022_01,2022-02-25,2022-02-16,-9,0,0,0,0,0,0,0,1.0000372537,0.372537,0.372537,0.0,0.0,0,normal,46571012140.0,,0.6275,0,1,1,normal,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2022_01,2022-02-25,2022-02-17,-8,0,0,0,0,0,0,0,0.9989945015,-10.054985,10.054985,0.0,0.0,0,normal,46652480244.0,,0.6275,0,1,1,normal,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2022_01,2022-02-25,2022-02-18,-7,0,1,0,0,1,0,0,0.9993043308,-6.956691999999999,6.956691999999999,0.0,0.0,0,normal,46408032810.0,,0.6275,0,1,1,normal,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2022_01,2022-02-25,2022-02-19,-6,0,1,0,0,1,0,0,1.0007035124,7.035124000000001,7.035124000000001,0.0,0.0,0,normal,46478101159.0,,0.6275,0,1,1,normal,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2022_01,2022-02-25,2022-02-20,-5,0,1,0,0,1,0,0,1.0024519527,24.519527,24.519527,0.0,0.0,0,normal,46508916076.0,,0.6275,0,1,1,normal,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2022_01,2022-02-25,2022-02-21,-4,0,1,0,0,1,0,0,1.0016246907,16.246907,16.246907,0.0,0.0,0,normal,46547773207.0,,0.6275,0,1,1,normal,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2022_01,2022-02-25,2022-02-22,-3,1,1,1,0,1,0,0,1.0016619796,16.619796,16.619796,0.0,0.0,0,normal,46588984173.0,,0.6275,0,1,1,normal,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2022_01,2022-02-25,2022-02-23,-2,1,1,1,0,1,0,0,0.9997218294,-2.781706,2.781706,0.0,0.0,0,normal,46766228554.0,,0.6275,0,1,1,normal,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2022_01,2022-02-25,2022-02-24,-1,1,1,1,0,1,0,0,1.0004966672,4.966672,4.966672,0.0,0.0,0,normal,46920192948.0,,0.6275,0,1,1,normal,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2022_01,2022-02-25,2022-02-25,0,1,1,0,1,0,1,1,1.0008244235,8.244235,8.244235,0.0,0.0,0,normal,47192138526.0,,0.6275,0,1,1,normal,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2022_01,2022-02-25,2022-02-26,1,1,1,0,1,0,1,0,1.0013726671,13.726671,13.726671,0.0,0.0,0,normal,47237970956.0,,0.6275,0,1,1,normal,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2022_01,2022-02-25,2022-02-27,2,1,1,0,1,0,1,0,1.0025797639,25.797639,25.797639,0.0,0.0,0,normal,47319988124.0,,0.6275,0,1,1,normal,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2022_01,2022-02-25,2022-02-28,3,1,1,0,1,0,1,0,1.0024356061,24.356061,24.356061,0.0,0.0,0,normal,47350370373.0,,0.6275,0,1,1,normal,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2022_01,2022-02-25,2022-03-01,4,0,1,0,0,0,1,0,1.0005005775,5.005775000000001,5.005775000000001,0.0,0.0,0,normal,47454720712.0,,0.6275,0,1,1,normal,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2022_01,2022-02-25,2022-03-02,5,0,1,0,0,0,1,0,1.0005139116,5.1391160000000005,5.1391160000000005,0.0,0.0,0,normal,47504755161.0,,0.6275,0,1,1,normal,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2022_01,2022-02-25,2022-03-03,6,0,1,0,0,0,1,0,0.9996553709,-3.4462909999999995,3.4462909999999995,0.0,0.0,0,normal,47520491381.0,,0.6275,0,1,1,normal,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2022_01,2022-02-25,2022-03-04,7,0,1,0,0,0,1,0,0.9993073172,-6.9268279999999995,6.9268279999999995,0.0,0.0,0,normal,47132514871.0,,0.6275,0,1,1,normal,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2022_01,2022-02-25,2022-03-05,8,0,0,0,0,0,0,0,1.0001582515,1.582515,1.582515,0.0,0.0,0,normal,46869192817.0,,0.6275,0,1,1,normal,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2022_01,2022-02-25,2022-03-06,9,0,0,0,0,0,0,0,1.0011706273,11.706273,11.706273,0.0,0.0,0,normal,46879802162.0,,0.6275,0,1,1,normal,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2022_01,2022-02-25,2022-03-07,10,0,0,0,0,0,0,0,0.9999293399,-0.706601,0.706601,0.0,0.0,0,normal,46699223662.0,,0.6275,0,1,1,normal,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2022_01,2022-02-25,2022-03-08,11,0,0,0,0,0,0,0,0.998568696,-14.313039999999999,14.313039999999999,0.0,0.0,0,normal,46761347092.0,,0.6275,0,1,1,normal,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2022_01,2022-02-25,2022-03-09,12,0,0,0,0,0,0,0,1.0000849056,0.849056,0.849056,0.0,0.0,0,normal,46673089910.0,,0.6275,0,1,1,normal,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2022_01,2022-02-25,2022-03-10,13,0,0,0,0,0,0,0,0.9999741333,-0.25866700000000004,0.25866700000000004,0.0,0.0,0,normal,46593516901.0,,0.6275,0,1,1,normal,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2022_01,2022-02-25,2022-03-11,14,0,0,0,0,0,0,0,1.000323085,3.2308499999999998,3.2308499999999998,0.0,0.0,0,normal,46821257773.0,,0.6275,0,1,1,normal,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
