event_id,stablecoin,report_date,publication_date,manual_review_required,asset_extraction_confidence,rule_version,rule_status,rqi_primary_path_b,rqi_bank_cash_070,rqi_bank_cash_090,rqi_repo_090,delta_bank_cash_070_minus_primary_path_b,delta_bank_cash_090_minus_primary_path_b,delta_repo_090_minus_primary_path_b
USDC_ASSURANCE_2023_09,USDC,2023-09-29,2023-10-30,1,medium,RQI_DII_v1.0,frozen_confirmed_by_researcher,0.9488373652436999,0.9438528091333152,0.9538219213540847,0.9210811521806702,-0.00498455611038473,0.004984556110384841,-0.027756213063029667
USDC_ASSURANCE_2024_04,USDC,2024-04-30,,1,medium,RQI_DII_v1.0,frozen_confirmed_by_researcher,0.9419844683982294,0.9325339526261305,0.9514349841703282,0.9136707670959265,-0.009450515772098877,0.009450515772098877,-0.02831370130230282
USDC_ASSURANCE_2024_08,USDC,2024-08-30,,1,medium,RQI_DII_v1.0,frozen_confirmed_by_researcher,0.9388798976643435,0.9274684063627496,0.9502913889659375,0.9082536702953473,-0.011411491301593912,0.011411491301593912,-0.03062622736899623
USDC_ASSURANCE_2024_12,USDC,2024-12-31,,1,medium,RQI_DII_v1.0,frozen_confirmed_by_researcher,0.9336524709608786,0.918900334132808,0.9484046077889492,0.9087637615399656,-0.014752136828070528,0.014752136828070639,-0.024888709420912924
USDC_ASSURANCE_2024_02,USDC,2024-02-29,,1,medium,RQI_DII_v1.0,frozen_confirmed_by_researcher,0.9381085800267118,0.9266174076649294,0.9495997523884943,0.9128231988287294,-0.011491172361782431,0.011491172361782431,-0.025285381197982404
USDC_ASSURANCE_2024_01,USDC,2024-01-31,2024-02-29,1,medium,RQI_DII_v1.0,frozen_confirmed_by_researcher,0.9410175746388006,0.9288437784506015,0.9531913708269996,0.9123842740453142,-0.012173796188199137,0.012173796188198915,-0.028633300593486455
USDC_ASSURANCE_2024_07,USDC,2024-07-31,2024-08-27,1,medium,RQI_DII_v1.0,frozen_confirmed_by_researcher,0.9404273279977214,0.9292134234968695,0.9516412324985732,0.9106043427667389,-0.011213904500851912,0.011213904500851801,-0.02982298523098259
USDC_ASSURANCE_2024_06,USDC,2024-06-28,,1,medium,RQI_DII_v1.0,frozen_confirmed_by_researcher,0.9388269214081059,0.927666861178176,0.9499869816380356,0.9123600598549692,-0.01116006022992988,0.011160060229929769,-0.02646686155313671
USDC_ASSURANCE_2024_03,USDC,2024-03-29,,1,medium,RQI_DII_v1.0,frozen_confirmed_by_researcher,0.9364669618507547,0.9234264549507911,0.9495074687507182,0.9119078726585506,-0.013040506899963611,0.0130405068999635,-0.024559089192204175
USDC_ASSURANCE_2024_05,USDC,2024-05-31,,1,medium,RQI_DII_v1.0,frozen_confirmed_by_researcher,0.9401274521024575,0.9297465560276139,0.9505083481773009,0.9146347622683859,-0.010380896074843604,0.010380896074843382,-0.025492689834071602
USDC_ASSURANCE_2024_11,USDC,2024-11-29,2024-12-20,1,medium,RQI_DII_v1.0,frozen_confirmed_by_researcher,0.931258957405439,0.9149148941482734,0.9476030206626045,0.9090488121585081,-0.01634406325716553,0.01634406325716553,-0.02221014524693088
USDC_ASSURANCE_2024_10,USDC,2024-10-31,,1,medium,RQI_DII_v1.0,frozen_confirmed_by_researcher,0.936771569416924,0.9243451998070752,0.9491979390267729,0.9095488810083099,-0.012426369609848775,0.012426369609848886,-0.027222688408614082
USDC_ASSURANCE_2024_09,USDC,2024-09-30,,1,medium,RQI_DII_v1.0,frozen_confirmed_by_researcher,0.9379331301348949,0.926541340612881,0.9493249196569089,0.9061939082596483,-0.011391789522013918,0.011391789522014029,-0.03173922187524658
