model_run_id,model_family,sample_id,rqi_profile,outcome,n,k,rule_version,rule_status,provisional_flag,provisional_reason,term,coef,hac_se_lag7,t_stat,p_value,r2,adj_r2,status,stress_variant
stress_calendar__svb_only_banking_stress,stress_calendar_sensitivity,all_rows_with_variant,primary_path_b,abs_peg_dev_bps,826,10,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,stress_x_primary_path_b_10pp_variant,3.5700716749171733,1.2042883729038776,2.9644657834806853,0.0031203564658301985,0.1939711217039055,0.1850810973109338,estimated,svb_only_banking_stress
stress_calendar__svb_only_banking_stress,stress_calendar_sensitivity,all_rows_with_variant,primary_path_b,abs_peg_dev_bps,826,10,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,stress_x_dii_10pp_variant,3.2518728006167494,1.0969506976214736,2.9644657755975814,0.003120356544912495,0.1939711217039055,0.1850810973109338,estimated,svb_only_banking_stress
stress_calendar__svb_only_banking_stress,stress_calendar_sensitivity,all_rows_with_variant,primary_path_b,abs_peg_dev_bps,826,10,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,days_since_disclosure_30d,-0.48665327822930377,0.424283763112887,-1.1469995331869969,0.25171801189042564,0.1939711217039055,0.1850810973109338,estimated,svb_only_banking_stress
stress_calendar__svb_only_banking_stress,stress_calendar_sensitivity,all_rows_with_variant,primary_path_b,abs_peg_dev_bps,826,10,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,stale_disclosure_45d,0.11163162423113175,1.4366779342206166,0.07770121721239548,0.9380847740410101,0.1939711217039055,0.1850810973109338,estimated,svb_only_banking_stress
stress_calendar__svb_only_banking_stress,stress_calendar_sensitivity,all_rows_with_variant,primary_path_b,abs_peg_dev_bps,826,10,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,log_supply,-11.465147926900263,3.347141304482929,-3.4253552162690712,0.0006446615511206399,0.1939711217039055,0.1850810973109338,estimated,svb_only_banking_stress
stress_calendar__svb_only_banking_stress,stress_calendar_sensitivity,all_rows_with_variant,primary_path_b,abs_peg_dev_bps,826,10,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,trend_years,3.1046653957853874,0.79321968218538,3.9140044876745876,9.834985795653672e-05,0.1939711217039055,0.1850810973109338,estimated,svb_only_banking_stress
stress_calendar__short_anchor_windows,stress_calendar_sensitivity,all_rows_with_variant,primary_path_b,abs_peg_dev_bps,826,10,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,Intercept,555.7996436655075,186.84801470408198,2.974608237319233,0.003020110749784255,0.1586541309502466,0.1493745809239625,estimated,short_anchor_windows
stress_calendar__short_anchor_windows,stress_calendar_sensitivity,all_rows_with_variant,primary_path_b,abs_peg_dev_bps,826,10,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,rqi_primary_path_b_10pp,-22.119611880098546,10.597725424363123,-2.087203715360255,0.03717947822439971,0.1586541309502466,0.1493745809239625,estimated,short_anchor_windows
stress_calendar__short_anchor_windows,stress_calendar_sensitivity,all_rows_with_variant,primary_path_b,abs_peg_dev_bps,826,10,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,dii_10pp,2.893571762705482,0.9610074238532457,3.0109775334548883,0.002684366278183914,0.1586541309502466,0.1493745809239625,estimated,short_anchor_windows
stress_calendar__short_anchor_windows,stress_calendar_sensitivity,all_rows_with_variant,primary_path_b,abs_peg_dev_bps,826,10,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,market_stress_flag_variant,-688.8117959517342,357.30037961576954,-1.9278227375309884,0.054223928270020094,0.1586541309502466,0.1493745809239625,estimated,short_anchor_windows
stress_calendar__short_anchor_windows,stress_calendar_sensitivity,all_rows_with_variant,primary_path_b,abs_peg_dev_bps,826,10,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,stress_x_primary_path_b_10pp_variant,5352.363565993742,2776.4637905219906,1.9277627838205906,0.054231400767075666,0.1586541309502466,0.1493745809239625,estimated,short_anchor_windows
stress_calendar__short_anchor_windows,stress_calendar_sensitivity,all_rows_with_variant,primary_path_b,abs_peg_dev_bps,826,10,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,stress_x_dii_10pp_variant,-5786.019137392739,3001.32320143361,-1.9278227465235978,0.05422392714926594,0.1586541309502466,0.1493745809239625,estimated,short_anchor_windows
stress_calendar__short_anchor_windows,stress_calendar_sensitivity,all_rows_with_variant,primary_path_b,abs_peg_dev_bps,826,10,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,days_since_disclosure_30d,-0.3086420696826395,0.42612737925130934,-0.7242953274321698,0.46909205234661644,0.1586541309502466,0.1493745809239625,estimated,short_anchor_windows
stress_calendar__short_anchor_windows,stress_calendar_sensitivity,all_rows_with_variant,primary_path_b,abs_peg_dev_bps,826,10,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,stale_disclosure_45d,-0.053971209619058394,1.418518762996355,-0.03804758246909215,0.9696590501715034,0.1586541309502466,0.1493745809239625,estimated,short_anchor_windows
stress_calendar__short_anchor_windows,stress_calendar_sensitivity,all_rows_with_variant,primary_path_b,abs_peg_dev_bps,826,10,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,log_supply,-15.411315779675716,4.008155413401873,-3.8449895750413403,0.00012994006402156089,0.1586541309502466,0.1493745809239625,estimated,short_anchor_windows
stress_calendar__short_anchor_windows,stress_calendar_sensitivity,all_rows_with_variant,primary_path_b,abs_peg_dev_bps,826,10,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,trend_years,3.3276400850722396,0.8155416168152541,4.080282374879779,4.939835333828135e-05,0.1586541309502466,0.1493745809239625,estimated,short_anchor_windows
