model_run_id,model_family,sample_id,rqi_profile,outcome,n,k,rule_version,rule_status,provisional_flag,provisional_reason,start_date,end_date,y_mean,y_sd,r2,adj_r2,status
absdev_rqi_dii__primary_path_b__exclude_100bp_tail_days,absdev_rqi_dii,exclude_100bp_tail_days,primary_path_b,abs_peg_dev_bps,825,8,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2024-12-31,5.607141575757575,9.333220934644345,0.10935576828422588,0.10172478955471498,estimated
tail50_rqi_dii_lpm__primary_path_b__exclude_100bp_tail_days,tail50_rqi_dii_lpm,exclude_100bp_tail_days,primary_path_b,tail_depeg_50bp_pct,825,8,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2024-12-31,0.8484848484848485,9.177726084129787,0.014732790385265204,0.006291088466901518,estimated
absdev_stress_interaction__primary_path_b__exclude_100bp_tail_days,absdev_stress_interaction,exclude_100bp_tail_days,primary_path_b,abs_peg_dev_bps,825,10,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2024-12-31,5.607141575757575,9.333220934644345,0.16774052348999313,0.15854992804387036,estimated
absdev_rqi_dii__bank_cash_070__all_rows_with_variant,absdev_rqi_dii,all_rows_with_variant,bank_cash_070,abs_peg_dev_bps,826,8,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2024-12-31,6.071721307506053,16.28749767642561,0.09442503360088161,0.0866756145730162,estimated
tail50_rqi_dii_lpm__bank_cash_070__all_rows_with_variant,tail50_rqi_dii_lpm,all_rows_with_variant,bank_cash_070,tail_depeg_50bp_pct,826,8,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2024-12-31,0.9685230024213075,9.799516475274034,0.026911091391677466,0.018583924692095244,estimated
absdev_stress_interaction__bank_cash_070__all_rows_with_variant,absdev_stress_interaction,all_rows_with_variant,bank_cash_070,abs_peg_dev_bps,826,10,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2024-12-31,6.071721307506053,16.28749767642561,0.19437501867856377,0.1854894490316361,estimated
absdev_rqi_dii__bank_cash_070__rqi_available,absdev_rqi_dii,rqi_available,bank_cash_070,abs_peg_dev_bps,826,8,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2024-12-31,6.071721307506053,16.28749767642561,0.09442503360088161,0.0866756145730162,estimated
tail50_rqi_dii_lpm__bank_cash_070__rqi_available,tail50_rqi_dii_lpm,rqi_available,bank_cash_070,tail_depeg_50bp_pct,826,8,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2024-12-31,0.9685230024213075,9.799516475274034,0.026911091391677466,0.018583924692095244,estimated
absdev_stress_interaction__bank_cash_070__rqi_available,absdev_stress_interaction,rqi_available,bank_cash_070,abs_peg_dev_bps,826,10,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2024-12-31,6.071721307506053,16.28749767642561,0.19437501867856377,0.1854894490316361,estimated
absdev_rqi_dii__bank_cash_070__manual_review_free,absdev_rqi_dii,manual_review_free,bank_cash_070,abs_peg_dev_bps,190,6,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2023-03-01,0.7674731578947369,1.3983326217019685,0.19296862728285058,0.1710384269372759,estimated
tail50_rqi_dii_lpm__bank_cash_070__manual_review_free,tail50_rqi_dii_lpm,manual_review_free,bank_cash_070,tail_depeg_50bp_pct,190,6,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2023-03-01,0.0,0.0,,,estimated
absdev_stress_interaction__bank_cash_070__manual_review_free,absdev_stress_interaction,manual_review_free,bank_cash_070,abs_peg_dev_bps,190,8,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2023-03-01,0.7674731578947369,1.3983326217019685,0.19296862728285047,0.16192895910142158,estimated
absdev_rqi_dii__bank_cash_070__non_stress_rows,absdev_rqi_dii,non_stress_rows,bank_cash_070,abs_peg_dev_bps,800,7,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2024-12-31,5.3323431249999995,8.647708397119132,0.0826407865169112,0.07569985930266343,estimated
tail50_rqi_dii_lpm__bank_cash_070__non_stress_rows,tail50_rqi_dii_lpm,non_stress_rows,bank_cash_070,tail_depeg_50bp_pct,800,7,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2024-12-31,0.75,8.633114347045419,0.01347708983754714,0.006012855964943387,estimated
absdev_stress_interaction__bank_cash_070__non_stress_rows,absdev_stress_interaction,non_stress_rows,bank_cash_070,abs_peg_dev_bps,800,7,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2024-12-31,5.3323431249999995,8.647708397119132,0.0826407865169112,0.07569985930266343,estimated
absdev_rqi_dii__bank_cash_070__stress_rows_diagnostic,absdev_rqi_dii,stress_rows_diagnostic,bank_cash_070,abs_peg_dev_bps,26,5,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-11-06,2023-03-20,28.82181923076923,76.21352596068506,0.20156478536207234,0.04948188733580039,estimated
tail50_rqi_dii_lpm__bank_cash_070__stress_rows_diagnostic,tail50_rqi_dii_lpm,stress_rows_diagnostic,bank_cash_070,tail_depeg_50bp_pct,26,5,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-11-06,2023-03-20,7.6923076923076925,27.1746488194703,0.23334970379196218,0.08732107594281213,estimated
