model_run_id,model_family,sample_id,rqi_profile,outcome,n,k,rule_version,rule_status,provisional_flag,provisional_reason,term,coef,hac_se_lag7,t_stat,p_value,r2,adj_r2,status
tail50_rqi_dii_lpm__primary_path_b__rqi_available,tail50_rqi_dii_lpm,rqi_available,primary_path_b,tail_depeg_50bp_pct,826,8,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,market_stress_flag,6.95594631103596,6.401217198790242,1.0866599421670233,0.2775072258755469,0.025454696365405316,0.017115066627700903,estimated
tail50_rqi_dii_lpm__primary_path_b__rqi_available,tail50_rqi_dii_lpm,rqi_available,primary_path_b,tail_depeg_50bp_pct,826,8,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,log_supply,-6.407544463332824,4.196195015028803,-1.5269891986392443,0.12715025033119187,0.025454696365405316,0.017115066627700903,estimated
tail50_rqi_dii_lpm__primary_path_b__rqi_available,tail50_rqi_dii_lpm,rqi_available,primary_path_b,tail_depeg_50bp_pct,826,8,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,trend_years,1.551442292780009,0.7308669388874964,2.122742472304969,0.034075227923239915,0.025454696365405316,0.017115066627700903,estimated
absdev_stress_interaction__primary_path_b__rqi_available,absdev_stress_interaction,rqi_available,primary_path_b,abs_peg_dev_bps,826,10,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,Intercept,386.27947200811934,148.52982097571893,2.6006863097967834,0.009472121880478301,0.1940863480264604,0.18519759451204632,estimated
absdev_stress_interaction__primary_path_b__rqi_available,absdev_stress_interaction,rqi_available,primary_path_b,abs_peg_dev_bps,826,10,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,rqi_primary_path_b_10pp,-13.268032222882082,8.230688802294347,-1.6120196670761686,0.10734433734297211,0.1940863480264604,0.18519759451204632,estimated
absdev_stress_interaction__primary_path_b__rqi_available,absdev_stress_interaction,rqi_available,primary_path_b,abs_peg_dev_bps,826,10,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,dii_10pp,2.3809683422152643,0.8784963411962726,2.7102769022043214,0.006863837899643066,0.1940863480264604,0.18519759451204632,estimated
absdev_stress_interaction__primary_path_b__rqi_available,absdev_stress_interaction,rqi_available,primary_path_b,abs_peg_dev_bps,826,10,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,market_stress_flag,-587.10042962641,201.74068230000051,-2.910173708807807,0.0037105324364101744,0.1940863480264604,0.18519759451204632,estimated
absdev_stress_interaction__primary_path_b__rqi_available,absdev_stress_interaction,rqi_available,primary_path_b,abs_peg_dev_bps,826,10,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,stress_x_primary_path_b_10pp,4562.332334890883,1567.6726749451202,2.9102582495740688,0.00370953929277662,0.1940863480264604,0.18519759451204632,estimated
absdev_stress_interaction__primary_path_b__rqi_available,absdev_stress_interaction,rqi_available,primary_path_b,abs_peg_dev_bps,826,10,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,stress_x_dii_10pp,-4931.643601917412,1694.6217294530677,-2.9101737079159724,0.0037105324468884593,0.1940863480264604,0.18519759451204632,estimated
absdev_stress_interaction__primary_path_b__rqi_available,absdev_stress_interaction,rqi_available,primary_path_b,abs_peg_dev_bps,826,10,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,days_since_disclosure_30d,-0.49442898987572637,0.4252864759521692,-1.1625786800973503,0.24534037393898966,0.1940863480264604,0.18519759451204632,estimated
